,2023-07-31
FreeCashFlow,19037000000.0
RepurchaseOfCapitalStock,-4890000000.0
RepaymentOfDebt,-500000000.0
IssuanceOfDebt,0.0
IssuanceOfCapitalStock,700000000.0
CapitalExpenditure,-849000000.0
InterestPaidSupplementalData,376000000.0
IncomeTaxPaidSupplementalData,3571000000.0
EndCashPosition,11627000000.0
BeginningCashPosition,8579000000.0
EffectOfExchangeRateChanges,-105000000.0
ChangesInCash,3153000000.0
FinancingCashFlow,-11626000000.0
CashFlowFromContinuingFinancingActivities,-11626000000.0
NetOtherFinancingCharges,-32000000.0
CashDividendsPaid,-6302000000.0
CommonStockDividendPaid,-6302000000.0
NetCommonStockIssuance,-4190000000.0
CommonStockPayments,-4890000000.0
CommonStockIssuance,700000000.0
NetIssuancePaymentsOfDebt,-1102000000.0
NetShortTermDebtIssuance,-602000000.0
NetLongTermDebtIssuance,-500000000.0
LongTermDebtPayments,-500000000.0
LongTermDebtIssuance,0.0
InvestingCashFlow,-5107000000.0
CashFlowFromContinuingInvestingActivities,-5107000000.0
NetOtherInvestingChanges,-23000000.0
NetInvestmentPurchaseAndSale,-3934000000.0
SaleOfInvestment,7122000000.0
PurchaseOfInvestment,-11056000000.0
NetBusinessPurchaseAndSale,-301000000.0
SaleOfBusiness,
PurchaseOfBusiness,-301000000.0
NetPPEPurchaseAndSale,-849000000.0
SaleOfPPE,3000000.0
PurchaseOfPPE,-849000000.0
OperatingCashFlow,19886000000.0
CashFlowFromContinuingOperatingActivities,19886000000.0
ChangeInWorkingCapital,5042000000.0
ChangeInOtherWorkingCapital,3544000000.0
ChangeInOtherCurrentLiabilities,48000000.0
ChangeInOtherCurrentAssets,5000000.0
ChangeInPayablesAndAccruedExpense,678000000.0
ChangeInAccruedExpense,651000000.0
ChangeInPayable,27000000.0
ChangeInAccountPayable,27000000.0
ChangeInTaxPayable,
ChangeInIncomeTaxPayable,
ChangeInInventory,-1069000000.0
ChangeInReceivables,1836000000.0
ChangesInAccountReceivables,734000000.0
StockBasedCompensation,2353000000.0
ProvisionandWriteOffofAssets,31000000.0
DeferredTax,-2085000000.0
DeferredIncomeTax,-2085000000.0
DepreciationAmortizationDepletion,1726000000.0
DepreciationAndAmortization,1726000000.0
Depreciation,1726000000.0
OperatingGainsLosses,206000000.0
GainLossOnInvestmentSecurities,
GainLossOnSaleOfBusiness,206000000.0
NetIncomeFromContinuingOperations,12613000000.0
