Unnamed: 0,2023-06-30
OrdinarySharesNumber,7432000000.0
ShareIssued,7432000000.0
NetDebt,12533000000.0
TotalDebt,59965000000.0
TangibleBookValue,128971000000.0
InvestedCapital,253460000000.0
WorkingCapital,80108000000.0
NetTangibleAssets,128971000000.0
CapitalLeaseObligations,12728000000.0
CommonStockEquity,206223000000.0
TotalCapitalization,248213000000.0
TotalEquityGrossMinorityInterest,206223000000.0
StockholdersEquity,206223000000.0
GainsLossesNotAffectingRetainedEarnings,-6343000000.0
OtherEquityAdjustments,-6343000000.0
RetainedEarnings,118848000000.0
CapitalStock,93718000000.0
CommonStock,93718000000.0
TotalLiabilitiesNetMinorityInterest,205753000000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,101604000000.0
OtherNonCurrentLiabilities,17981000000.0
TradeandOtherPayablesNonCurrent,25560000000.0
NonCurrentDeferredLiabilities,3345000000.0
NonCurrentDeferredRevenue,2912000000.0
NonCurrentDeferredTaxesLiabilities,433000000.0
LongTermDebtAndCapitalLeaseObligation,54718000000.0
LongTermCapitalLeaseObligation,12728000000.0
LongTermDebt,41990000000.0
CurrentLiabilities,104149000000.0
OtherCurrentLiabilities,14745000000.0
CurrentDeferredLiabilities,50901000000.0
CurrentDeferredRevenue,50901000000.0
CurrentDebtAndCapitalLeaseObligation,5247000000.0
CurrentDebt,5247000000.0
OtherCurrentBorrowings,5247000000.0
CommercialPaper,0.0
PensionandOtherPostRetirementBenefitPlansCurrent,11009000000.0
PayablesAndAccruedExpenses,22247000000.0
Payables,22247000000.0
TotalTaxPayable,4152000000.0
IncomeTaxPayable,4152000000.0
AccountsPayable,18095000000.0
TotalAssets,411976000000.0
TotalNonCurrentAssets,227719000000.0
OtherNonCurrentAssets,30601000000.0
FinancialAssets,0.0
InvestmentsAndAdvances,9879000000.0
InvestmentinFinancialAssets,0.0
AvailableForSaleSecurities,
LongTermEquityInvestment,9879000000.0
GoodwillAndOtherIntangibleAssets,77252000000.0
OtherIntangibleAssets,9366000000.0
Goodwill,67886000000.0
NetPPE,109987000000.0
AccumulatedDepreciation,-68251000000.0
GrossPPE,178238000000.0
Leases,8537000000.0
OtherProperties,14346000000.0
MachineryFurnitureEquipment,81207000000.0
BuildingsAndImprovements,68465000000.0
LandAndImprovements,5683000000.0
Properties,0.0
CurrentAssets,184257000000.0
OtherCurrentAssets,21807000000.0
HedgingAssetsCurrent,6000000.0
Inventory,2500000000.0
FinishedGoods,1768000000.0
WorkInProcess,23000000.0
RawMaterials,709000000.0
Receivables,48688000000.0
AccountsReceivable,48688000000.0
AllowanceForDoubtfulAccountsReceivable,-650000000.0
GrossAccountsReceivable,49338000000.0
CashCashEquivalentsAndShortTermInvestments,111256000000.0
OtherShortTermInvestments,76552000000.0
CashAndCashEquivalents,34704000000.0
CashEquivalents,26226000000.0
CashFinancial,8478000000.0
FreeCashFlow,59475000000.0
RepurchaseOfCapitalStock,-22245000000.0
RepaymentOfDebt,-2750000000.0
IssuanceOfDebt,0.0
IssuanceOfCapitalStock,1866000000.0
CapitalExpenditure,-28107000000.0
EndCashPosition,34704000000.0
BeginningCashPosition,13931000000.0
EffectOfExchangeRateChanges,-194000000.0
ChangesInCash,20967000000.0
FinancingCashFlow,-43935000000.0
CashFlowFromContinuingFinancingActivities,-43935000000.0
NetOtherFinancingCharges,-1006000000.0
CashDividendsPaid,-19800000000.0
CommonStockDividendPaid,-19800000000.0
NetCommonStockIssuance,-20379000000.0
CommonStockPayments,-22245000000.0
CommonStockIssuance,1866000000.0
NetIssuancePaymentsOfDebt,-2750000000.0
NetShortTermDebtIssuance,0.0
ShortTermDebtPayments,
ShortTermDebtIssuance,0.0
NetLongTermDebtIssuance,-2750000000.0
LongTermDebtPayments,-2750000000.0
LongTermDebtIssuance,0.0
InvestingCashFlow,-22680000000.0
CashFlowFromContinuingInvestingActivities,-22680000000.0
NetOtherInvestingChanges,-3116000000.0
NetInvestmentPurchaseAndSale,10213000000.0
SaleOfInvestment,47864000000.0
PurchaseOfInvestment,-37651000000.0
NetBusinessPurchaseAndSale,-1670000000.0
PurchaseOfBusiness,-1670000000.0
NetPPEPurchaseAndSale,-28107000000.0
PurchaseOfPPE,-28107000000.0
OperatingCashFlow,87582000000.0
CashFlowFromContinuingOperatingActivities,87582000000.0
ChangeInWorkingCapital,-2388000000.0
ChangeInOtherWorkingCapital,5535000000.0
ChangeInOtherCurrentLiabilities,2825000000.0
ChangeInOtherCurrentAssets,-4824000000.0
ChangeInPayablesAndAccruedExpense,-3079000000.0
ChangeInPayable,-3079000000.0
ChangeInAccountPayable,-2721000000.0
ChangeInTaxPayable,-358000000.0
ChangeInIncomeTaxPayable,-358000000.0
ChangeInInventory,1242000000.0
ChangeInReceivables,-4087000000.0
ChangesInAccountReceivables,-4087000000.0
StockBasedCompensation,9611000000.0
UnrealizedGainLossOnInvestmentSecurities,-303000000.0
AssetImpairmentCharge,30000000.0
DeferredTax,-6059000000.0
DeferredIncomeTax,-6059000000.0
DepreciationAmortizationDepletion,13861000000.0
DepreciationAndAmortization,13861000000.0
Depreciation,13861000000.0
OperatingGainsLosses,469000000.0
GainLossOnInvestmentSecurities,469000000.0
NetIncomeFromContinuingOperations,72361000000.0
TaxEffectOfUnusualItems,-2850000.0
TaxRateForCalcs,0.19
NormalizedEBITDA,105155000000.0
TotalUnusualItems,-15000000.0
TotalUnusualItemsExcludingGoodwill,-15000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,72361000000.0
ReconciledDepreciation,13861000000.0
ReconciledCostOfRevenue,65863000000.0
EBITDA,105140000000.0
EBIT,91279000000.0
NetInterestIncome,1026000000.0
InterestExpense,1968000000.0
InterestIncome,2994000000.0
NormalizedIncome,72373150000.0
NetIncomeFromContinuingAndDiscontinuedOperation,72361000000.0
TotalExpenses,123392000000.0
TotalOperatingIncomeAsReported,88523000000.0
DilutedAverageShares,7472000000.0
BasicAverageShares,7446000000.0
DilutedEPS,9.68
BasicEPS,9.72
DilutedNIAvailtoComStockholders,72361000000.0
NetIncomeCommonStockholders,72361000000.0
NetIncome,72361000000.0
NetIncomeIncludingNoncontrollingInterests,72361000000.0
NetIncomeContinuousOperations,72361000000.0
TaxProvision,16950000000.0
PretaxIncome,89311000000.0
OtherIncomeExpense,-238000000.0
OtherNonOperatingIncomeExpenses,-223000000.0
SpecialIncomeCharges,-30000000.0
WriteOff,30000000.0
GainOnSaleOfSecurity,15000000.0
NetNonOperatingInterestIncomeExpense,1026000000.0
InterestExpenseNonOperating,1968000000.0
InterestIncomeNonOperating,2994000000.0
OperatingIncome,88523000000.0
OperatingExpense,57529000000.0
ResearchAndDevelopment,27195000000.0
SellingGeneralAndAdministration,30334000000.0
SellingAndMarketingExpense,22759000000.0
GeneralAndAdministrativeExpense,7575000000.0
OtherGandA,7575000000.0
GrossProfit,146052000000.0
CostOfRevenue,65863000000.0
TotalRevenue,211915000000.0
OperatingRevenue,211915000000.0
